State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn.
VT,93,510,386-2923,yes,no,-1,190.7,114,32.3,217.5,,18.8,129.6,120,5.2,7.6,3,,3,False.
VA,76,510,356-2992,no,yes,32,189.8,66,32.2,211.8,65,,165.7,108,6.8,9.4,6,2.3,1,False.
TX,73,415,373-2782,no,no,,,90,38,158.6,88,13.9,192.9,73,8,12.3,3,3.2,1,False.
FL,147,415,396-5800,no,no,,155.2,117,26.2,238.8,93,20.7,208.9,132,8.8,9.9,5,2.8,0,False.
CO,77,408,393-7984,,no,,62.6,89,10.5,169.2,122,14.6,209.6,63,8.8,5.3,7,1.2,5,True.
AZ,130,415,358-1958,yes,no,-1,182.8,112,31,72.3,100,6.6,181.9,78,,9,20,2.3,,False.
SC,111,415,350-2565,no,no,-1,110.6,103,18.7,136.5,102,11.8,189.7,104,7.9,7,7,2,2,False.
VA,132,510,343-4696,no,no,-1,81.2,86,13.7,244.3,,21.1,236.9,114,10,9.7,3,2.6,0,False.
NE,174,415,331-3698,no,,-1,124.3,76,20.9,276.2,112,23.7,250.7,114,10.6,15,6,,3,False.
WY,57,408,357-3817,no,,38,213.1,115,36.1,190.3,112,16.7,182.8,114,7.5,8.9,3,2.2,0,False.
MT,54,408,418-6412,yes,no,-1,134.4,73,22.7,154.6,100,13.6,102.2,67,4,14.2,4,3.7,3,False.
MO,20,415,353-2630,no,no,-1,189.9,109,32.2,257.2,85,22.2,181.5,101,7.3,5.6,,1.3,0,False.
HI,49,510,410-7789,no,no,-1,119.3,117,20.2,214.2,109,18.6,178.7,89,7.2,10.5,1,2.8,1,False.
IL,142,415,416-8428,no,no,-1,84.8,95,14.4,135.8,64,11.8,250.7,147,10.7,13.4,7,3.5,2,False.
NH,75,510,370-3359,no,no,-1,226.2,104,38.4,200.5,107,17.5,246.3,97,10.5,,5,2.5,1,False.
LA,172,408,383-1121,yes,no,-1,212,121,35.8,30.6,115,2.8,293.2,77,12.5,11.9,11,3.2,3,False.
AZ,12,408,360-1596,no,no,-1,249.6,118,42.3,251.5,,21.8,280.3,90,12,11.3,,2.9,1,True.
OK,57,408,395-2854,no,yes,24,176.8,94,29.9,194.1,,16.8,213.6,116,9,7.6,5,1.8,0,False.
GA,72,415,362-1407,no,yes,36,220,80,37.4,216.6,102,18.9,152.8,70,6.2,14,7,3.7,3,False.
AK,36,408,341-9764,no,,29,146.4,128,24.6,161.6,80,14,129.3,108,5.2,14,7,3.8,0,False.
MA,78,415,353-3305,no,no,-1,130.8,64,22,222.9,116,19.3,227.7,107,9.5,9.3,6,2.4,1,False.
AK,136,415,402-1381,no,yes,32,203.8,106,34.6,186.8,99,16.4,101.8,107,3.9,9.9,,2.5,3,False.
NJ,149,408,332-9891,no,no,-1,140.4,94,23.8,270.9,92,23.4,188.5,,7.7,10.5,9,2.5,1,False.
GA,98,408,372-9976,no,no,-1,126.2,102,21.5,166,85,14.5,187.8,134,7.8,8.8,3,2.3,3,False.
MD,135,408,383-6029,no,yes,40,173.2,85,29.5,203.1,,17.6,122.2,77,4.9,13.9,16,3.7,0,True.
AR,34,510,353-7289,no,no,-1,124.9,82,21,281.3,98,24.2,311.5,77,13.3,9.5,5,2.5,2,False.
ID,160,415,390-7274,no,no,-1,85.8,77,14.4,164.7,110,14.4,178.5,91,7.4,8.5,5,2.2,3,False.
WI,64,510,352-1237,no,no,-1,153.9,67,26,225,118,19.5,265.4,85,11.2,2.9,4,0.7,1,
OR,59,408,353-3061,no,yes,27,120.8,97,20.7,212.2,93,18.5,163.1,115,6.6,7.9,6,2.1,2,False.
MI,65,415,363-5450,no,no,-1,211.5,120,35.8,161.8,122,14.2,134.8,117,,12.7,6,3.3,3,False.
DE,142,408,364-1995,,no,-1,187,,31.8,133.8,75,11.7,242.5,126,10.4,6.8,6,1.7,2,False.
ID,119,415,398-1294,,no,,159.2,114,27.1,230.4,117,,,90,5.7,8.2,4,2.3,5,True.
WY,97,415,405-7146,no,yes,23,133.5,135,22.3,216.5,58,18.7,70.7,78,2.5,10.5,3,2.7,1,False.
IA,52,408,413-4957,no,no,-1,191.9,107,32.5,,96,23.2,236.8,86,10,7.1,6,1.8,3,False.
IN,60,408,420-5645,no,no,-1,220.7,57,37.4,210.4,115,18.3,249.1,128,10.6,6.2,4,1.6,1,False.
VA,10,408,349-4396,no,no,,186.1,112,31.6,189.4,67,16.4,282.9,56,12,10.8,7,2.7,2,False.
UT,96,415,404-3211,,no,-1,160.3,117,27.3,266.6,67,23.1,228.6,68,9.5,8.7,6,2.4,2,False.
WY,87,415,353-3759,no,no,-1,151.1,83,25.7,218.8,116,18.9,204,127,8.6,9.1,4,2.3,5,True.
IN,81,408,363-5947,,no,-1,175.6,67,29.8,248.7,85,21.5,270.3,97,11.6,9.6,4,2.6,1,False.
CO,141,415,340-5121,no,no,-1,127.1,98,21.5,179.2,62,15.5,140.9,127,5.7,7.3,3,2,1,False.
CO,121,408,370-7574,no,yes,29,198.4,129,,74.3,77,6.7,181.3,76,7.3,5.2,4,1.3,3,
WI,68,415,403-9733,yes,no,-1,148.8,70,25.1,245.8,165,21.2,130,102,5.2,11.6,4,3,3,False.
OK,125,408,355-7251,yes,no,-1,229.3,103,38.8,176.4,127,15.2,189.3,94,7.9,11.3,9,3,1,False.
ID,174,408,359-5893,no,no,-1,192,97,,169,95,14.7,166.8,53,6.8,10.9,5,2.9,1,False.
CA,116,415,405-3371,no,yes,33,268.6,,45.4,177.4,143,15.5,166.4,105,,11.2,3,2.8,2,False.
MN,74,510,344-5117,no,yes,32,193.8,91,32.9,245.3,96,21.2,138.3,91,5.5,,4,3.8,2,False.
SD,149,408,332-8160,no,yes,27,,92,30.7,187,65,16.1,265.7,,11.4,12,4,3.1,3,False.
NC,38,408,359-4081,no,no,-1,,98,22,162.1,98,14.2,159.1,105,6.6,7.6,7,1.8,2,False.
WA,40,415,352-8305,yes,yes,40,148.2,74,25.3,168.6,88,14.7,214.1,101,,5.6,6,1.6,2,False.
WY,43,415,329-9847,no,no,,251.6,105,42.6,211.8,105,,157.7,66,,8.6,5,2.2,0,False.
MN,113,408,365-9011,no,no,-1,125.2,93,21.2,205.6,119,17.8,129.5,138,5.2,7.7,9,1.9,0,False.
UT,126,408,338-9472,no,no,-1,211.9,70,35.8,216,80,18.8,153.8,59,6.3,7.1,2,1.8,1,False.
TX,150,510,374-8042,no,no,-1,179,,30.3,168.4,111,14.6,148.6,99,5.9,13.3,,3.5,4,True.
NJ,138,408,359-1231,no,no,-1,241.9,93,40.8,,83,14.7,295.4,103,12.6,11.4,8,2.9,3,False.
MN,162,510,413-7170,no,,45,224.9,97,38.2,187.4,84,16.4,254.7,60,11,,3,3,0,False.
NM,147,510,415-2935,no,no,,248.6,83,42,148.2,86,13.1,172.6,108,6.9,7.6,4,1.6,3,
NV,90,415,399-4246,no,no,-1,203.4,146,34.5,225.9,117,19.7,152.4,104,6.2,6.6,5,1.5,,False.
HI,85,415,362-5889,yes,no,-1,235.8,109,,156.3,95,13.6,188.4,98,7.8,11.4,4,2.9,0,False.
MN,50,415,350-8921,no,,-1,157.2,90,26.6,222.5,72,19.2,181.5,111,7.6,5.5,2,1.3,1,False.
DC,82,415,374-5353,no,no,-1,300.4,109,50.9,180.2,100,15.8,270.4,72,11.5,11,4,2.6,0,True.
NY,144,408,360-1171,,no,-1,61.7,117,10.2,76.4,85,7,173,98,7.1,,7,1.9,4,True.
MN,46,415,355-8887,no,no,-1,214.1,72,36.3,163.6,104,14.2,177.6,112,7.3,7.6,4,1.9,,False.
MD,70,408,333-1967,no,no,-1,170.1,98,28.8,154.3,102,13.6,,75,,14.2,3,3.9,1,False.
WV,144,415,354-4577,no,no,-1,201.2,99,34,302.8,75,26.2,223.9,118,9.6,12.7,2,3.3,1,False.
OR,116,415,331-7425,no,no,-1,215.3,104,36.5,203.9,80,17.6,278.6,108,11.8,11.9,5,2.9,3,False.
CO,55,408,419-2637,no,yes,24,165.7,123,27.9,135.3,95,11.7,175.7,89,7.4,10.4,3,2.7,3,False.
GA,70,415,411-1530,,yes,23,249.6,100,42.2,,98,22.3,222.9,67,9.3,9.3,4,2.4,1,False.
TX,106,510,395-3026,yes,no,-1,210.7,96,35.8,,86,21.3,191.4,87,,11.8,,3,2,True.
VT,128,510,388-6441,no,yes,28,179.3,,30.4,225,87,19.4,323,77,13.9,7.9,8,2.2,0,False.
IN,94,408,402-1251,no,no,-1,157.9,105,26.6,153.9,102,13.5,189.5,83,7.9,7.3,6,2,4,True.
WV,111,510,412-9997,no,no,-1,214.3,118,36.4,207.5,76,18,182.5,97,7.5,11.4,3,2.9,1,False.
KY,74,415,346-7302,no,yes,34,154.2,104,26.1,122.6,84,10.6,,56,8.4,10.2,9,,2,False.
NJ,128,415,358-9095,no,no,-1,237.8,125,40.4,246.8,93,21.4,209,67,8.8,13.2,5,3.6,1,True.
DC,82,510,400-9770,no,no,-1,144,61,24.4,194.2,105,16.8,,93,4.1,10.4,3,2.7,1,False.
LA,155,415,334-1275,no,,-1,203.5,100,34.5,190.1,104,16.3,196.1,118,8.3,8.2,5,2.1,0,True.
AR,80,415,340-4953,no,no,-1,124.3,100,21,172.2,107,15,253.2,61,10.7,7.4,10,1.6,1,False.
ME,78,415,400-9510,no,no,-1,253.1,93,43,177.5,113,15.5,264,104,11.2,8.9,8,2.3,3,False.
AZ,90,415,387-6103,no,no,-1,179.2,71,30.2,189.8,,16.6,127.7,91,5.2,10.1,8,2.6,3,False.
AK,104,408,366-4467,no,no,-1,278.2,106,47,80.2,113,,163.3,136,6.8,9.4,5,2.5,1,False.
MT,73,415,370-3450,no,no,-1,160.2,110,27,212.7,72,18.4,174.1,71,7.2,12.3,5,3.2,0,False.
AZ,99,415,327-3954,no,no,-1,198.1,87,,206.5,76,17.9,191.1,112,7.9,7.9,4,2.1,4,False.
MS,120,408,355-6291,no,no,-1,212.1,131,35.8,208.6,105,18,167.3,95,6.8,4.7,6,1.2,1,True.
ID,77,415,362-9748,no,no,-1,,72,42.8,204.8,126,17.8,275.3,108,12,9.2,8,2.4,2,True.
IA,98,510,379-6506,no,yes,20,161.2,114,27.3,251.2,,21.8,160.5,91,6.6,3.6,9,0.9,4,False.
MA,108,415,347-7741,no,no,-1,178.4,137,30.3,188.1,76,16.5,129.3,,4.9,14,6,3.7,0,False.
VT,135,415,354-3783,no,no,-1,151.7,82,25.7,118.2,106,10.6,180,99,7.5,9.9,7,2.5,0,False.
KY,95,408,401-7594,no,no,-1,135,99,22.7,182.8,107,,245.3,101,10.3,12.1,9,,1,False.
IN,122,408,397-4976,no,,-1,170.4,94,28.8,172.8,109,14.9,248.6,74,10.4,10.6,3,2.8,1,False.
AZ,95,408,334-2577,no,no,-1,238,64,40.4,186.5,98,16.3,190.1,114,7.9,11,4,2.8,4,
MI,36,510,400-3637,no,yes,28,281.5,101,47.9,201.5,77,17.5,187.1,112,7.7,8.2,7,2,2,False.
NM,93,510,383-4361,no,yes,20,117.9,131,19.9,,116,14.4,217.2,85,9.1,9.1,4,2.4,1,False.
CO,141,415,371-4306,no,yes,31,148.6,,25.2,,97,11.3,219.4,142,9.1,9.6,1,2.4,1,False.
UT,157,408,403-4298,no,no,-1,229.8,90,39.1,147.2,121,13,241.6,107,10.2,9,8,2.3,3,False.
MI,120,408,409-3786,no,no,-1,165.1,100,28,316.3,83,27.4,119.3,85,4.9,7.7,9,2.1,,False.
MA,103,415,337-4697,no,no,-1,185.2,117,,222.4,94,19.3,,90,9.4,12,2,3.4,2,False.
AL,98,408,383-1509,no,no,-1,161.1,117,27.2,190.1,113,16.7,227.7,112,9.7,11.5,5,2.8,4,False.
DE,125,408,359-9794,no,no,-1,127,,21.6,205.2,90,17.9,247.7,113,10.5,12.6,,3.3,1,False.
AZ,63,415,407-7035,no,no,-1,59,125,,168.6,59,14.7,211.5,87,8.8,8.9,4,2.3,1,False.
ME,36,510,363-1069,no,yes,41,196.7,89,33.3,254.1,122,21.8,138.3,125,5.3,19.3,7,5.2,0,True.
NJ,64,510,391-4652,no,no,-1,162.6,82,27.3,151.5,110,13.2,57.6,121,2,13.7,4,3.6,1,False.
NV,74,415,355-6837,no,no,-1,,114,48.1,219.2,49,18.8,170,114,,8.8,5,2.3,,True.
MO,112,510,409-1244,no,yes,35,113.9,116,19.2,156.6,82,13.8,177.8,117,7.4,9.6,4,2.5,2,False.
ID,97,408,328-3266,no,no,-1,239.9,125,40.8,214.1,112,18.5,143.4,80,5.8,8,5,2.4,2,False.
NE,46,408,352-7072,no,no,-1,,92,,226.7,77,19.6,200.4,115,8.5,12.5,8,3.5,1,False.
TX,41,408,370-7550,no,yes,21,,102,36.3,140.9,87,12.4,142,122,5.7,6.5,4,1.5,0,False.
MD,121,510,369-5526,no,no,-1,190.7,103,32.3,182.6,,,220.8,102,9.3,9.2,4,2.3,3,False.
MS,193,415,329-4391,no,no,-1,171,,28.7,131.5,96,11.5,113.2,88,4.4,11.1,3,2.7,1,False.
NV,130,510,408-4195,no,no,-1,154.2,119,26.2,109.4,98,9.7,227.4,116,9.6,8.6,6,2.4,2,False.
AZ,85,408,354-4445,no,no,-1,201.4,52,,228.4,105,20,252.6,,10.6,11.5,3,3,1,False.
MS,162,415,335-4858,yes,no,-1,70.7,108,11.9,156.8,87,13.8,154.8,81,6.2,8.4,3,2.2,4,True.
MS,61,510,414-8718,no,yes,26,187.5,124,31.8,145.6,,12.7,226,128,9.4,6,7,1.5,4,
TX,92,408,409-5939,no,no,-1,91.5,90,15.4,193,123,16.8,175,85,7.3,8.6,5,2.3,2,False.
NE,131,408,331-4902,no,yes,35,214.1,115,36.4,160.7,117,13.9,264.6,101,11.5,8.8,5,2.1,,False.
NE,90,415,353-6870,yes,no,-1,145.6,,24.5,216.8,115,18.8,147,122,5.9,10.2,3,2.4,3,False.
CA,75,408,355-2909,no,no,-1,166.5,125,28.2,157.5,87,13.7,256.6,79,10.9,5.4,6,1.5,1,False.
NJ,78,415,390-6101,no,no,-1,231,115,39.1,229.5,141,19.9,261.3,119,11.1,8.7,3,2.3,1,False.
TX,82,408,400-3446,no,no,-1,200.4,96,33.9,200.5,103,17.2,206,59,8.5,6.4,2,1.6,4,False.
AR,163,408,411-5859,yes,no,,197,109,33.4,201.8,128,17.6,206.4,79,8.7,8.6,10,2.1,1,False.
AL,91,510,387-2919,no,no,-1,129.9,111,,172.5,84,14.8,247.3,129,10.5,10.6,4,2.6,3,False.
NY,75,415,374-8525,no,yes,20,,97,29.6,216.6,106,19.1,237.7,,9.9,4.8,5,1.2,5,False.
FL,91,510,379-5592,yes,no,-1,203,106,34.2,209.2,113,18,195.8,128,8.1,11.5,4,,3,False.
AK,127,510,345-8237,no,yes,35,183.3,117,31,126.2,,11,263.4,70,11.3,10.5,9,2.7,1,False.
NV,113,415,422-6690,no,yes,22,205,101,35,151.2,61,13.4,158.7,58,6.6,9.5,,2.4,2,False.
DE,110,510,346-2359,no,no,-1,148.6,115,25.3,275.4,84,23.9,193.7,111,8.1,11.7,4,2.9,1,False.
MD,120,415,374-3534,no,,38,200.4,68,33.9,219.7,97,19.2,253.8,116,10.8,10,5,2.6,0,False.
MI,157,415,381-4756,no,yes,27,192.7,107,32.7,194.5,74,16.9,109.8,138,4.1,6.2,5,1.6,3,False.
VT,103,510,390-2805,no,no,-1,246.5,47,41.9,,85,17.1,200.5,95,8.4,11.3,5,3,1,False.
VT,117,408,390-2390,no,no,-1,167,,28.2,176.6,88,15.5,249.5,131,,,8,3.5,2,True.
MI,140,415,419-9097,no,no,-1,231.8,101,,159.2,95,14,110.5,97,4.2,13.7,7,3.4,,False.
WA,127,408,386-7281,yes,no,-1,146.7,91,24.6,202.7,78,17.5,203.5,109,8.5,13.2,4,3.5,1,False.
UT,83,408,380-3561,no,no,-1,271.6,87,46,215.5,126,18.7,121.2,104,4.9,11.3,5,2.9,1,False.
LA,121,408,390-8760,no,no,-1,181.6,121,30.7,217.5,98,18.8,161.7,102,6.6,7.9,6,1.8,1,False.
RI,145,408,366-6730,no,yes,42,258,97,43.8,,96,14.1,286.9,85,,10.5,5,2.8,2,False.
IA,113,408,395-5285,no,no,-1,193.7,99,32.8,220.4,126,18.9,172.2,66,7.2,10,6,2.4,1,False.
NE,117,415,354-3436,no,no,-1,102.9,119,17.3,206,92,17.9,298.9,104,13,9.4,8,2.4,1,False.
OH,65,408,336-7600,no,no,-1,,116,32,156.8,117,13.8,227.4,85,9.6,6.9,7,1.6,1,False.
RI,56,415,383-6293,no,no,-1,226.1,112,38.1,247.7,118,21.4,140.6,141,5.6,,12,1.6,1,False.
OK,96,415,362-4596,no,no,-1,260.5,115,44,145.1,46,12.7,269.6,86,11.5,10.8,5,2.8,5,False.
LA,151,408,401-3926,no,no,-1,178.6,116,30.3,291.2,139,25.1,266,100,11.2,9.3,5,2.3,0,False.
OH,83,415,370-9116,yes,no,,337.4,120,57.2,226.7,117,19.6,154.1,113,6.3,15.2,8,3.9,0,True.
VA,139,510,328-6289,no,yes,,157.8,129,26.7,246.2,97,21.4,259.1,,10.9,13.2,2,3.4,0,False.
MO,6,510,350-9994,no,no,-1,183.6,117,31.2,256,72,22.1,178.6,78,7.3,9.6,3,2.7,1,False.
FL,115,510,351-4616,no,yes,23,142.2,124,24.1,182.5,129,16,,,6.8,,5,2.4,1,False.
SC,87,415,360-5779,no,no,-1,136.4,97,23.2,171.4,109,14.9,137.5,100,5.4,6.5,6,1.7,0,False.
VA,141,415,417-4885,,no,-1,217.1,110,36.8,,111,20.8,253.6,102,10.9,11.3,7,3,0,False.
IA,141,510,406-4710,no,yes,35,187.7,99,31.7,240.6,116,21,,104,9.7,10,6,2.7,3,
MI,62,415,409-8743,no,no,-1,99,103,16.6,134.6,123,11.7,236.6,81,10.1,11.7,2,3.1,1,False.
OK,146,415,335-4584,no,no,,206.5,151,34.9,147.7,90,,167.3,90,7,5.4,4,,1,False.
DE,92,415,361-9845,no,yes,32,243.2,,41.3,212.9,92,18.5,229,103,9.7,11.5,3,2.8,2,False.
GA,185,510,366-5699,,yes,30,189.8,125,32.2,162.5,134,14,264.9,125,11.3,6.9,3,1.8,1,False.
DC,148,415,329-9364,no,no,,202,102,34.4,242.2,128,20.8,261.3,90,11.1,10.3,4,2.6,1,False.
AZ,94,408,390-7434,no,,37,170.2,124,29,192.7,117,16.8,105.9,72,4.2,12.2,5,3.3,1,False.
AL,32,510,404-9680,yes,no,-1,230.9,87,39,186.6,90,16.3,154.2,53,6.2,5.8,3,1.4,0,False.
CO,68,408,338-9398,no,no,-1,237.1,105,40.3,222.7,105,19.2,97.4,78,3.7,12.5,3,3.4,1,False.
NH,64,408,394-2445,yes,yes,26,,91,30.8,168.9,,14.6,164.8,85,6.7,9.8,6,2.5,2,False.
NM,25,415,381-2709,no,no,-1,119.2,87,20.1,210.7,101,18.3,269,85,11.5,10,5,2.7,3,False.
OR,65,415,397-5060,no,no,-1,116.8,87,19.9,178,93,15.5,182.6,149,7.6,13.4,3,3.6,1,False.
LA,179,408,415-2393,no,no,-1,219.2,92,37.1,148.6,125,12.9,,103,10.3,5.6,,,0,False.
NE,94,415,377-1765,yes,no,-1,252.7,104,42.9,168.1,125,14.7,170.8,105,7.2,10.5,8,2.8,2,False.
MN,62,415,409-2111,no,no,-1,147.1,91,25.1,189.7,108,16.4,195.2,114,8.3,11.7,3,3.1,0,False.
MI,127,415,401-3170,no,no,-1,202.1,103,34.1,228.7,86,19.8,195.2,112,8.3,11,4,2.9,2,False.
AR,116,408,405-5681,no,no,-1,173.7,93,29.4,,76,,208,111,8.6,15.6,11,4.2,3,False.
KS,70,408,411-4582,no,,-1,232.2,122,39.3,291.5,113,25.1,201.2,111,8.5,-0.6,1,-0.2,3,False.
WV,94,510,355-5009,no,yes,22,197.1,125,33.4,213.6,136,18.4,282.3,102,12,8.8,5,2.3,4,False.
AK,126,415,372-3750,yes,no,-1,58.2,94,9.8,137.9,118,12.3,136.8,90,5.4,11.4,,3.1,5,True.
NY,67,408,405-2888,no,yes,35,115.5,111,19.5,236.9,95,20.5,170.1,102,7.1,9.5,12,2.4,2,False.
NH,19,408,361-3337,no,no,-1,186.2,98,31.6,253.6,57,21.9,214,126,9.2,14.1,8,3.6,2,False.
VA,170,510,350-1639,no,no,-1,,,44.2,244.2,,21.1,134.4,120,5.3,,3,2.1,3,False.
NM,73,415,333-3221,no,no,-1,214.3,145,36.4,267.7,135,22.9,241.3,91,10.2,10.1,14,2.8,1,False.
NY,106,408,422-1471,yes,no,-1,158.7,74,26.9,63.5,139,5.8,198.5,102,8.1,9.7,,2.3,1,False.
AZ,93,415,399-7865,no,no,-1,271.7,71,46,228.7,109,19.6,77.3,120,2.9,10.4,4,2.7,2,False.
WY,164,510,373-4819,no,no,-1,160.6,111,27.1,162.4,126,14.1,187.3,111,7.7,8.4,3,2.1,1,
WA,51,408,338-6981,no,no,-1,232.3,109,39.4,186.8,95,16.2,231.3,107,9.8,8.5,4,2.4,1,False.
CO,107,415,418-4365,no,no,-1,133.7,85,22.7,179.8,94,15.7,112.3,115,4.5,,5,2.3,0,False.
TX,130,415,359-5461,no,no,-1,177.1,109,29.9,89.9,,8,238,68,10.1,8.8,3,2.2,,False.
KY,80,408,375-3586,no,,-1,209.9,74,35.6,194.3,78,16.7,208.3,118,8.8,8.4,5,2.1,2,
MT,94,415,407-8376,no,,-1,137.6,118,23.2,202.1,88,17.7,149.9,130,6.1,13,3,3.3,0,False.
OK,118,408,408-6496,no,yes,22,289.5,52,49.2,165.7,111,14.3,119.2,87,4.8,9,5,2,1,False.
MD,117,415,385-7688,no,yes,22,198.3,86,33.6,176.1,87,15.4,180.7,91,7.2,6.3,7,1.4,1,False.
TN,78,415,332-6934,no,no,-1,,119,25.5,181.4,115,15.8,261.6,125,11.2,9,8,,0,False.
TX,208,510,378-3625,no,,-1,326.6,67,55.5,175.5,113,15.3,181.7,101,7.6,10.1,6,2.5,2,True.
ME,131,510,353-7292,no,yes,25,292.9,101,49.8,199,97,17.3,255.2,126,,13.1,8,3.5,4,True.
DC,63,408,399-6786,no,no,,82.9,64,14,176,106,15.4,245.7,88,10.4,12.4,4,3.2,0,False.
MN,53,415,358-3261,,yes,23,,146,24.6,219.6,137,19,250.1,95,10.6,12.7,5,3.3,3,False.
DE,62,408,377-9932,no,no,-1,182.1,101,30.9,327.3,94,28.3,245.1,130,10.2,10.6,2,2.8,2,False.
MD,97,415,397-4030,no,no,-1,217.9,86,37,183.1,94,15.9,240.6,109,10.1,5.8,9,1.5,3,False.
MI,105,510,367-1062,yes,no,-1,140.7,109,23.8,177.8,51,15.5,217.1,82,8.9,6.1,4,1.7,2,False.
WA,157,415,341-8467,no,no,-1,152.7,105,25.8,256.8,81,22.2,198.1,92,8.3,8.8,5,2.4,1,False.
MO,66,415,339-9453,no,yes,35,106.8,76,18.2,209.1,78,18.1,190.5,116,8,11.5,3,3,1,False.
IN,122,415,344-3388,no,no,-1,243.9,98,41.3,83.2,73,7.2,179.9,83,7.4,13.1,9,3.7,2,False.
OR,38,415,375-8013,no,no,-1,194.4,94,,185.7,95,16.2,223.3,89,9.4,10.3,6,2.6,3,False.
MD,106,510,408-4142,no,no,-1,214,95,36.2,151,71,13.1,260.1,123,11.1,11.5,6,2.9,3,False.
RI,99,510,386-3671,no,no,-1,,112,,245.9,90,21.3,226.3,88,9.6,15.2,8,4.1,3,False.
LA,99,415,411-2284,no,no,-1,241.2,,40.9,154.9,98,13.6,188.2,108,8,11,11,2.8,1,False.
AZ,144,510,346-7795,no,no,-1,203.5,100,34.5,246.5,103,21.3,194.2,93,8.1,11.3,12,2.9,0,False.
PA,82,415,333-5609,no,yes,,155.2,,26.3,243.6,106,20.9,122.3,67,4.7,10.3,4,2.6,1,False.
AZ,86,408,405-1842,no,yes,30,167.8,139,28.4,112.3,118,9.9,247,120,,11.7,7,3.1,1,False.
FL,70,510,366-6345,no,no,-1,226.6,98,38.3,227.3,116,19.6,73.4,92,2.8,16.8,4,4.5,2,True.
LA,93,415,337-9345,no,no,-1,179.4,93,30.5,177.9,99,15.6,225.5,130,9.3,10.8,7,2.9,3,False.
FL,93,415,328-6770,,no,-1,151.3,89,25.5,185.7,77,16,172.5,119,7,10.2,3,2.5,0,False.
FL,120,415,380-7321,no,no,-1,180.2,80,30.4,223.3,82,19.4,265.3,91,11.2,4.1,8,,3,False.
MD,136,415,375-1476,no,no,-1,250.4,121,42.6,266.3,119,23,151.3,114,6.1,12.4,3,3.3,1,True.
AL,106,415,356-1567,yes,no,-1,223.1,121,37.8,109.4,98,9.6,188.9,106,8.1,6.8,13,1.7,0,False.
WA,81,415,422-6685,no,no,-1,183.7,116,30.9,151.8,99,13.3,212.2,99,8.9,11.6,7,2.9,3,False.
TN,127,408,336-1090,no,yes,21,165.8,114,28.2,173.6,104,15.1,244.9,67,,,6,2.4,1,False.
MS,65,415,343-2095,no,no,-1,136.1,,23.2,272,97,23.5,220.2,103,9.1,3.8,3,0.9,1,False.
ME,35,408,345-3934,no,no,-1,,113,25.1,241.5,122,20.8,174.3,103,7,8.3,7,1.9,2,False.
OK,88,408,338-8050,no,no,-1,65.5,97,11,167.5,76,14.6,236.1,112,10,13.2,1,3.5,2,False.
